"","Project","Site","Plot","Grid","Depth_cm","Sample_ID","npoc_mgL","npoc_uM","npoc_flag","tdn_mgL","tdn_uM","tdn_flag","Analysis_runtime","Run_notes","Field_notes","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","Volume_mL"
"13","COMPASS","TEMPEST","FW","D5",15,"TMP_FW_D5_20220622_T1_15CM","4.67",389.17,NA,"0.16",11.43,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622","1245","1645",NA,"10"
"14","COMPASS","TEMPEST","FW","H3",15,"TMP_FW_H3_20220622_T2_15CM","4.86",405,NA,"0.21",15,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"2014",NA,"7"
"15","COMPASS","TEMPEST","FW","F6",15,"TMP_FW_F6_20220622_T2_15CM","7.4",616.67,NA,"0.26",18.57,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"2014",NA,"7"
"16","COMPASS","TEMPEST","FW","F4",15,"TMP_FW_F4_20220622_T2_15CM","8.13",677.5,NA,"0.27",19.29,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"2014",NA,"7"
"17","COMPASS","TEMPEST","FW","E3",15,"TMP_FW_E3_20220622_T2_15CM","6.74",561.67,NA,"0.23",16.43,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"2014",NA,"7.5"
"18","COMPASS","TEMPEST","FW","H6",15,"TMP_FW_H6_20220622_T2_15CM","2.81",234.17,NA,"0.08",5.71,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"2014",NA,"7"
"19","COMPASS","TEMPEST","FW","C3",15,"TMP_FW_C3_20220622_T2_15CM","9.72",810,NA,"0.25",17.86,"blank is ≥ 25% of sample value",NA,NA,"General note: vibe- tired raccoon",NA,"20220622",NA,"2014",NA,"10"
"20","COMPASS","TEMPEST","FW","I5",15,"TMP_FW_I5_20220622_T2_15CM","18.61",1550.83,NA,"0.3",21.43,NA,NA,NA,NA,NA,"20220622",NA,"2014",NA,"10"
"21","COMPASS","TEMPEST","SW","B4",15,"TMP_SW_B4_20220622_T2_15CM","7.3",608.33,NA,"0.47",33.57,NA,NA,NA,NA,NA,"20220622","1614","2014",NA,"7"
"22","COMPASS","TEMPEST","SW","I5",15,"TMP_SW_I5_20220622_T2_15CM","11.85",987.5,NA,"1.25",89.29,NA,NA,NA,NA,NA,"20220622","1614","2014",NA,"10"
"23","COMPASS","TEMPEST","SW","D5",15,"TMP_SW_D5_20220622_T2_15CM","4.66",388.33,NA,"0.4",28.57,NA,NA,NA,NA,NA,"20220622","1614","2014",NA,"7"
"24","COMPASS","TEMPEST","SW","F6",15,"TMP_SW_F6_20220622_T2_15CM","5.09",424.17,NA,"0.36",25.71,NA,NA,NA,NA,NA,"20220622","1614","2014",NA,"7"
"25","COMPASS","TEMPEST","SW","F4",15,"TMP_SW_F4_20220622_T2_15CM","10.66",888.33,NA,"0.53",37.86,NA,NA,NA,NA,NA,"20220622","1614","2014",NA,"7"
"26","COMPASS","TEMPEST","SW","H3",15,"TMP_SW_H3_20220622_T2_15CM","6.53",544.17,NA,"0.57",40.71,NA,NA,NA,NA,NA,"20220622","1614","2014",NA,"7"
"27","COMPASS","TEMPEST","SW","E3",15,"TMP_SW_E3_20220622_T2_15CM","2.78",231.67,NA,"0.17",12.14,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622","1614","2014",NA,"10"
"28","COMPASS","TEMPEST","SW","C3",15,"TMP_SW_C3_20220622_T2_15CM","8.48",706.67,NA,"0.5",35.71,NA,NA,NA,"General note: AMP sampled GW well at 17:17, 17:32 pumped GW well for 2 min, didn't empty",NA,"20220622","1614","2014",NA,"10"
"29","COMPASS","TEMPEST","FW","B4",15,"TMP_FW_B4_20220622_T2_15CM","16.87",1405.83,"blank is ≥ 25% of sample value","1.63",116.43,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"2014",NA,"7"
"30","COMPASS","TEMPEST","SW","H6",15,"TMP_SW_H6_20220622_T2_15CM","15.52",1293.33,"blank is ≥ 25% of sample value","1.65",117.86,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622","1614","2014",NA,"7"
"31","COMPASS","TEMPEST","FW","D5",15,"TMP_FW_D5_20220622_T2_15CM","5.9",491.67,NA,"0.28",20,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"2014",NA,"10"
"32","COMPASS","TEMPEST","FW","E3",15,"TMP_FW_E3_20220622_T1_15CM","6.03",502.5,NA,"0.3",21.43,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622","1245","1645",NA,"9"
"33","COMPASS","TEMPEST","SW","F6",15,"TMP_SW_F6_20220622_T1_15CM","10.4",866.67,NA,"0.57",40.71,"blank is ≥ 25% of sample value",NA,NA,"3 rinse between lysimeter",NA,"20220622","1247","1647",NA,"10"
"34","COMPASS","TEMPEST","FW","H6",15,"TMP_FW_H6_20220622_T1_15CM",NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,"20220622","1245","1645",NA,"6.8"
"35","COMPASS","TEMPEST","FW","B4",15,"TMP_FW_B4_20220622_T1_15CM",NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,"20220622","1245","1645",NA,"7"
"36","COMPASS","TEMPEST","FW","F6",15,"TMP_FW_F6_20220622_T1_15CM",NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,"20220622","1245","1645",NA,"7"
"37","COMPASS","TEMPEST","FW","C6",15,"TMP_FW_C6_20220622_T2_15CM",NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,"20220622",NA,"2014",NA,"7"
"38","COMPASS","TEMPEST","C","H6",15,"TMP_C_H6_20220622_T2_15CM","19.16",1596.67,NA,"0.59",42.14,"blank is ≥ 25% of sample value",NA,NA,"9 mL kept for CDOM, additional 1 mL thrown out - no use for further pooling",NA,"20220622","1634","2034",NA,"7.5"
"39","COMPASS","TEMPEST","C","C6",15,"TMP_C_C6_20220623_T3_15CM","24.39",2032.5,NA,"0.72",51.43,NA,NA,NA,NA,NA,"20220623","0938","1338",NA,"7.5"
"40","COMPASS","TEMPEST","FW","H3",15,"TMP_FW_H3_20220623_T3_15CM","10.23",852.5,NA,"0.3",21.43,NA,NA,NA,NA,NA,"20220623",NA,"1338",NA,"10"
"41","COMPASS","TEMPEST","FW","F4",15,"TMP_FW_F4_20220623_T3_15CM","9.6",800,NA,"0.32",22.86,NA,NA,NA,NA,NA,"20220623",NA,"1338",NA,"7"
"42","COMPASS","TEMPEST","C","H6",15,"TMP_C_H6_20220623_T3_15CM","20.74",1728.33,NA,"0.62",44.29,NA,NA,NA,NA,NA,"20220623","0938","1338",NA,"7.5"
"43","COMPASS","TEMPEST","C","I5",15,"TMP_C_I5_20220623_T3_15CM","22.93",1910.83,NA,"0.67",47.86,NA,NA,NA,NA,NA,"20220623","0938","1338",NA,"7"
"44","COMPASS","TEMPEST","SW","B4",15,"TMP_SW_B4_20220623_T3_15CM","9.22",768.33,NA,"0.52",37.14,NA,NA,NA,NA,NA,"20220623","0941","1341",NA,"10"
"45","COMPASS","TEMPEST","FW","H6",15,"TMP_FW_H6_20220623_T3_15CM","10.03",835.83,NA,"0.35",25,NA,NA,NA,NA,NA,"20220623",NA,"1338",NA,"10"
"46","COMPASS","TEMPEST","SW","C3",15,"TMP_SW_C3_20220623_T3_15CM","13.23",1102.5,NA,"1.19",85,NA,NA,NA,"General note: raining relatively hard, but not pouring. Pools near many of the lysimeters but not as many or as large as during water treatment",NA,"20220623","0941","1341",NA,"10"
"47","COMPASS","TEMPEST","C","B4",15,"TMP_C_B4_20220623_T3_15CM","11.82",985,NA,"0.37",26.43,NA,NA,NA,"lost a couple mLs of pooled samples",NA,"20220623","0938","1338",NA,"8"
"48","COMPASS","TEMPEST","FW","C6",15,"TMP_FW_C6_20220623_T3_15CM","8.39",699.17,NA,"0.34",24.29,NA,NA,NA,NA,NA,"20220623",NA,"1338",NA,"7"
"49","COMPASS","TEMPEST","FW","C3",15,"TMP_FW_C3_20220623_T3_15CM","13.79",1149.17,NA,"0.43",30.71,NA,NA,NA,"General note: Vibes- wet AF aka drowned rat",NA,"20220623",NA,"1338",NA,"10"
"50","COMPASS","TEMPEST","FW","E3",15,"TMP_FW_E3_20220623_T3_15CM","7.32",610,NA,"0.27",19.29,NA,NA,NA,NA,NA,"20220623",NA,"1338",NA,"7"
"51","COMPASS","TEMPEST","FW","B4",15,"TMP_FW_B4_20220623_T3_15CM","7.87",655.83,NA,"0.33",23.57,NA,NA,NA,NA,NA,"20220623",NA,"1338",NA,"7"
"52","COMPASS","TEMPEST","SW","H6",15,"TMP_SW_H6_20220623_T3_15CM","7.4",616.67,NA,"0.39",27.86,NA,NA,NA,NA,NA,"20220623","0941","1341",NA,"7"
"53","COMPASS","TEMPEST","SW","E3",15,"TMP_SW_E3_20220623_T3_15CM","6.41",534.17,NA,"0.41",29.29,NA,NA,NA,NA,NA,"20220623","0941","1341",NA,"7"
"54","COMPASS","TEMPEST","SW","D5",15,"TMP_SW_D5_20220623_T3_15CM","8.04",670,NA,"0.82",58.57,NA,NA,NA,NA,NA,"20220623","0941","1341",NA,"7"
"55","COMPASS","TEMPEST","SW","F6",15,"TMP_SW_F6_20220623_T3_15CM","5.3",441.67,NA,"0.52",37.14,NA,NA,NA,NA,NA,"20220623","0941","1341",NA,"10"
"56","COMPASS","TEMPEST","SW","I5",15,"TMP_SW_I5_20220623_T3_15CM","15.07",1255.83,NA,"1.9",135.71,NA,NA,NA,NA,NA,"20220623","0941","1341",NA,"10"
"57","COMPASS","TEMPEST","FW","F6",15,"TMP_FW_F6_20220623_T3_15CM",NA,NA,"omitted for high dilution and blank values",NA,NA,"omitted for high dilution and blank values",NA,NA,NA,NA,"20220623",NA,"1338",NA,"7"
"58","COMPASS","TEMPEST","FW","I5",15,"TMP_FW_I5_20220623_T3_15CM","13.92",1160,NA,"0.58",41.43,NA,NA,NA,NA,NA,"20220623",NA,"1338",NA,"10"
"59","COMPASS","TEMPEST","FW","D5",15,"TMP_FW_D5_20220623_T3_15CM","6.94",578.33,NA,"0.29",20.71,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220623",NA,"1338",NA,"10"
"60","COMPASS","TEMPEST","SW","C6",15,"TMP_SW_C6_20220623_T3_15CM","7.42",618.33,NA,"0.78",55.71,NA,NA,NA,"Dead frog near lysimeter",NA,"20220623","0941","1341",NA,"7"
"61","COMPASS","TEMPEST","FW","I5",15,"TMP_FW_I5_20220624_T4_15CM","14.52",1210,NA,"0.54",38.57,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"62","COMPASS","TEMPEST","C","I5",15,"TMP_C_I5_20220624_T4_15CM","26.29",2190.83,NA,"1.45",103.57,NA,NA,NA,NA,NA,"20220624","12","1600",NA,"10"
"63","COMPASS","TEMPEST","C","D5",15,"TMP_C_D5_20220624_T4_15CM","19.76",1646.67,NA,"0.56",40,NA,NA,NA,NA,NA,"20220624","12","1600",NA,"10"
"64","COMPASS","TEMPEST","FW","H3",15,"TMP_FW_H3_20220624_T4_15CM","9.86",821.67,NA,"0.37",26.43,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"65","COMPASS","TEMPEST","SW","B4",15,"TMP_SW_B4_20220624_T4_15CM","8.94",745,NA,"0.52",37.14,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"66","COMPASS","TEMPEST","SW","F4",15,"TMP_SW_F4_20220624_T4_15CM","14.84",1236.67,NA,"0.64",45.71,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"67","COMPASS","TEMPEST","C","E3",15,"TMP_C_E3_20220624_T4_15CM","11.68",973.33,NA,"0.72",51.43,NA,NA,NA,NA,NA,"20220624","12","1600",NA,"7"
"68","COMPASS","TEMPEST","FW","C3",15,"TMP_FW_C3_20220624_T4_15CM","18.09",1507.5,NA,"1",71.43,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"69","COMPASS","TEMPEST","SW","E3",15,"TMP_SW_E3_20220624_T4_15CM","7.79",649.17,NA,"0.46",32.86,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"70","COMPASS","TEMPEST","SW","D5",15,"TMP_SW_D5_20220624_T4_15CM","11.09",924.17,NA,"0.78",55.71,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"71","COMPASS","TEMPEST","SW","H6",15,"TMP_SW_H6_20220624_T4_15CM","10.3",858.33,NA,"0.71",50.71,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"72","COMPASS","TEMPEST","FW","F4",15,"TMP_FW_F4_20220624_T4_15CM","11.22",935,NA,"0.49",35,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"73","COMPASS","TEMPEST","FW","F6",15,"TMP_FW_F6_20220624_T4_15CM","13.74",1145,NA,"0.56",40,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"74","COMPASS","TEMPEST","SW","H3",15,"TMP_SW_H3_20220624_T4_15CM","5.83",485.83,NA,"0.49",35,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"75","COMPASS","TEMPEST","FW","C6",15,"TMP_FW_C6_20220624_T4_15CM","7.03",585.83,NA,"0.31",22.14,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"76","COMPASS","TEMPEST","SW","I5",15,"TMP_SW_I5_20220624_T4_15CM","15.9",1325,NA,"1.5",107.14,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"77","COMPASS","TEMPEST","FW","H6",15,"TMP_FW_H6_20220624_T4_15CM","10.37",864.17,NA,"0.42",30,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"78","COMPASS","TEMPEST","C","F6",15,"TMP_C_F6_20220624_T4_15CM","19.97",1664.17,NA,"0.75",53.57,NA,NA,NA,NA,NA,"20220624","12","1600",NA,"10"
"79","COMPASS","TEMPEST","FW","D5",15,"TMP_FW_D5_20220624_T4_15CM","8.09",674.17,NA,"0.28",20,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"80","COMPASS","TEMPEST","C","H6",15,"TMP_C_H6_20220624_T4_15CM","21.31",1775.83,NA,"0.77",55,NA,NA,NA,NA,NA,"20220624","12","1600",NA,"10"
"81","COMPASS","TEMPEST","SW","C6",15,"TMP_SW_C6_20220624_T4_15CM","10.46",871.67,NA,"0.84",60,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"82","COMPASS","TEMPEST","FW","B4",15,"TMP_FW_B4_20220624_T4_15CM","9.79",815.83,NA,"0.36",25.71,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"83","COMPASS","TEMPEST","C","H3",15,"TMP_C_H3_20220624_T4_15CM","22.94",1911.67,NA,"0.82",58.57,NA,NA,NA,NA,NA,"20220624","12","1600",NA,"10"
"84","COMPASS","TEMPEST","FW","E3",15,"TMP_FW_E3_20220624_T4_15CM","10.51",875.83,NA,"0.36",25.71,NA,NA,NA,NA,NA,"20220624","1216","1616",NA,"10"
"85","COMPASS","TEMPEST","SW","C3",15,"TMP_SW_C3_20220624_T4_15CM","14.34",1195,NA,"1.36",97.14,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"86","COMPASS","TEMPEST","SW","F6",15,"TMP_SW_F6_20220624_T4_15CM","5.81",484.17,NA,"0.39",27.86,NA,NA,NA,NA,NA,"20220624","1215","1615",NA,"10"
"87","COMPASS","TEMPEST","C","B4",15,"TMP_C_B4_20220518_T1_15CM","18.19",1515.83,"average value of multiple aliquots",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"88","COMPASS","TEMPEST","C","B4",15,"TMP_C_B4_20220518_T2_15CM","18.19",1515.83,"average value of multiple aliquots",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"89","COMPASS","TEMPEST","C","C6",15,"TMP_C_C6_20220518_T1_15CM","9.235",769.58,"average value of multiple aliquots","0.365",26.07,"average value of multiple aliquots",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"90","COMPASS","TEMPEST","C","C6",15,"TMP_C_C6_20220518_T2_15CM","9.235",769.58,"average value of multiple aliquots","0.365",26.07,"average value of multiple aliquots",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"91","COMPASS","TEMPEST","C","D5",15,"TMP_C_D5_20220518_T1_15CM","18.36",1530,NA,"0.66",47.14,NA,NA,NA,NA,"20220513","20220518",NA,"1559",NA,"18"
"92","COMPASS","TEMPEST","C","E3",15,"TMP_C_E3_20220518_T1_15CM","9.88",823.33,"average value of multiple aliquots","0.535",38.21,"average value of multiple aliquots",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"93","COMPASS","TEMPEST","C","E3",15,"TMP_C_E3_20220518_T2_15CM","9.88",823.33,"average value of multiple aliquots","0.535",38.21,"average value of multiple aliquots",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"94","COMPASS","TEMPEST","C","F4",15,"TMP_C_F4_20220518_T1_15CM","8.13",677.5,NA,"0.47",33.57,NA,NA,NA,NA,"20220513","20220518",NA,"1559",NA,"8"
"95","COMPASS","TEMPEST","C","F6",15,"TMP_C_F6_20220518_T1_15CM","7.46",621.67,"average value of multiple aliquots","0.335",23.93,"average value of multiple aliquots",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"96","COMPASS","TEMPEST","C","F6",15,"TMP_C_F6_20220518_T2_15CM","7.46",621.67,"average value of multiple aliquots","0.335",23.93,"average value of multiple aliquots",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"97","COMPASS","TEMPEST","C","H3",15,"TMP_C_H3_20220518_T1_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"98","COMPASS","TEMPEST","C","H3",15,"TMP_C_H3_20220518_T2_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"99","COMPASS","TEMPEST","C","H6",15,"TMP_C_H6_20220518_T1_15CM","13.92",1160,NA,"0.47",33.57,NA,NA,NA,NA,"20220513","20220518",NA,"1559",NA,"12"
"100","COMPASS","TEMPEST","C","I5",15,"TMP_C_I5_20220518_T1_15CM","9.385",782.08,"average value of multiple aliquots",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"101","COMPASS","TEMPEST","C","I5",15,"TMP_C_I5_20220518_T2_15CM","9.385",782.08,"average value of multiple aliquots",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220513","20220518",NA,"1559",NA,"20"
"102","COMPASS","TEMPEST","ESTUARY","Source",NA,"TMP_ESTUARY_SOURCE_20220622_T1","27.27",2272.5,NA,"0.88",62.86,NA,NA,NA,NA,NA,"20220622",NA,"1500",NA,NA
"103","COMPASS","TEMPEST","ESTUARY","Source",NA,"TMP_ESTUARY_SOURCE_20220622_T2","5.23",435.83,NA,"0.43",30.71,NA,NA,NA,NA,NA,"20220622",NA,"1900",NA,NA
"104","COMPASS","TEMPEST","FW","C3",15,"TMP_FW_C3_20220518_T1_15CM","7.01",584.17,NA,"0.33",23.57,NA,NA,NA,NA,"20220512","20220518",NA,"1559",NA,"8"
"105","COMPASS","TEMPEST","FW","C3",15,"TMP_FW_C3_20220520_T2_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220518","20220520",NA,"1559",NA,"20"
"106","COMPASS","TEMPEST","FW","C6",15,"TMP_FW_C6_20220518_T1_15CM","21.68",1806.67,"average value of multiple aliquots",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"107","COMPASS","TEMPEST","FW","C6",15,"TMP_FW_C6_20220518_T2_15CM","21.68",1806.67,"average value of multiple aliquots",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"108","COMPASS","TEMPEST","FW","D5",15,"TMP_FW_D5_20220518_T1_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"109","COMPASS","TEMPEST","FW","D5",15,"TMP_FW_D5_20220518_T2_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"110","COMPASS","TEMPEST","FW","E3",15,"TMP_FW_E3_20220520_T1_15CM","13.84",1153.33,NA,"0.6",42.86,NA,NA,NA,NA,"20220518","20220520",NA,"1559",NA,"17"
"111","COMPASS","TEMPEST","FW","F4",15,"TMP_FW_F4_20220518_T1_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"112","COMPASS","TEMPEST","FW","F4",15,"TMP_FW_F4_20220518_T2_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"113","COMPASS","TEMPEST","FW","H3",15,"TMP_FW_H3_20220518_T1_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"114","COMPASS","TEMPEST","FW","H3",15,"TMP_FW_H3_20220518_T2_15CM",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,"20220512","20220518",NA,"1559",NA,"20"
"115","COMPASS","TEMPEST","FW","H6",15,"TMP_FW_H6_20220520_T1_15CM","9.03",752.5,NA,"0.45",32.14,NA,NA,NA,NA,"20220518","20220520",NA,"1559",NA,"15"
"116","COMPASS","TEMPEST","FW","Source",NA,"TMP_FW_SOURCE_20220622_T1","0.83",69.17,NA,"0.09",6.43,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"1054","EDT",NA
"117","COMPASS","TEMPEST","FW","Source",NA,"TMP_FW_SOURCE_20220622_T2","9.12",760,NA,"0.15",10.71,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"1200","EDT",NA
"118","COMPASS","TEMPEST","FW","Source",NA,"TMP_FW_SOURCE_20220622_T3","1.96",163.33,"blank is ≥ 25% of sample value","0.25",17.86,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"1330","EDT",NA
"119","COMPASS","TEMPEST","FW","Source",NA,"TMP_FW_SOURCE_20220622_T4","8.73",727.5,NA,"0.12",8.57,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"1400","EDT",NA
"120","COMPASS","TEMPEST","FW","Source",NA,"TMP_FW_SOURCE_20220622_T5",NA,NA,"replicates greater than 25% different",NA,NA,"replicates greater than 25% different",NA,NA,NA,NA,"20220622",NA,"1500","EDT",NA
"121","COMPASS","TEMPEST","FW","Source",NA,"TMP_FW_SOURCE_20220622_T6","0.75",62.5,NA,"0.07",5,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"1600",NA,NA
"122","COMPASS","TEMPEST","FW","Source",NA,"TMP_FW_SOURCE_20220622_T7","0.59",49.17,"blank is ≥ 25% of sample value","0.06",4.29,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"1848","EDT",NA
"123","COMPASS","TEMPEST","SW","Source",NA,"TMP_SW_SOURCE_20220622_T1","20.35",1695.83,NA,"0.5",35.71,NA,NA,NA,NA,NA,"20220622",NA,"1045","EDT",NA
"124","COMPASS","TEMPEST","SW","Source",NA,"TMP_SW_SOURCE_20220622_T2","20.05",1670.83,NA,"0.38",27.14,NA,NA,NA,NA,NA,"20220622",NA,"1200","EDT",NA
"125","COMPASS","TEMPEST","SW","Source",NA,"TMP_SW_SOURCE_20220622_T3","20.55",1712.5,NA,"0.4",28.57,NA,NA,NA,NA,NA,"20220622",NA,"1330","EDT",NA
"126","COMPASS","TEMPEST","SW","Source",NA,"TMP_SW_SOURCE_20220622_T4","5.6",466.67,NA,"0.44",31.43,"blank is ≥ 25% of sample value",NA,NA,NA,NA,"20220622",NA,"1400","EDT",NA
"127","COMPASS","TEMPEST","SW","Source",NA,"TMP_SW_SOURCE_20220622_T5","5.13",427.5,NA,"0.34",24.29,NA,NA,NA,NA,NA,"20220622",NA,"1500","EDT",NA
