date,Project,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2024-06-12,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20240612_T2,2024-06-11T20:30:00Z,2024-06-12T15:43:00Z,EDT,5.492,0.1895,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20240612_T2,2024-06-11T21:17:00Z,2024-06-12T15:02:00Z,EDT,5.141,0.2161,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20240612_T2,2024-06-11T20:43:00Z,2024-06-12T16:47:00Z,EDT,7.021,0.2535,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20240612_T2,2024-06-11T20:25:00Z,2024-06-12T17:05:00Z,EDT,6.053,0.305,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,H6,FW_H6_DOC_20240612_T2,2024-06-11T20:22:00Z,2024-06-12T16:22:00Z,EDT,8.331,0.4307,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240612_T2,2024-06-11T20:07:00Z,2024-06-12T16:31:00Z,EDT,6.318,0.2869,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240612_T3,2024-06-12T16:20:00Z,2024-06-12T23:22:00Z,EDT,4.718,0.4682,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240612_T3,2024-06-12T16:31:00Z,2024-06-12T22:40:00Z,EDT,6.382,0.3818,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240612_T3,2024-06-12T16:05:00Z,2024-06-12T22:56:00Z,EDT,4.016,0.2851,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240612_T3,2024-06-12T15:42:00Z,2024-06-12T23:07:00Z,EDT,3.802,0.2662,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,I5,SW_I5_DOC_20240612_T3,2024-06-12T15:16:00Z,2024-06-12T22:06:00Z,EDT,10.05,0.6637,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20240612_T3,2024-06-12T15:02:00Z,2024-06-12T23:18:00Z,EDT,4.601,0.1868,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240612_T3,2024-06-12T16:01:00Z,2024-06-12T23:03:00Z,EDT,4.642,0.1199,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20240612_T3,2024-06-12T15:43:00Z,2024-06-12T22:48:00Z,EDT,5.925,0.2128,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20240612_T3,2024-06-12T16:47:00Z,2024-06-12T22:31:00Z,EDT,6.914,0.2619,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20240612_T3,2024-06-12T17:05:00Z,2024-06-12T22:23:00Z,EDT,4.875,0.1782,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240612_T3,2024-06-12T16:31:00Z,2024-06-12T22:00:00Z,EDT,4.855,0.231,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240613_T4,2024-06-12T23:22:00Z,2024-06-13T16:37:00Z,EDT,5.343,0.3989,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240613_T4,2024-06-12T22:40:00Z,2024-06-13T16:16:00Z,EDT,5.849,0.3003,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240613_T4,2024-06-12T22:56:00Z,2024-06-13T16:00:00Z,EDT,3.878,0.2111,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240613_T4,2024-06-12T23:07:00Z,2024-06-13T15:48:00Z,EDT,3.641,0.2152,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240613_T4,2024-06-12T23:03:00Z,2024-06-13T16:43:00Z,EDT,4.613,0.09606,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20240613_T4,2024-06-12T22:48:00Z,2024-06-13T16:57:00Z,EDT,6.602,0.3157,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20240613_T4,2024-06-12T22:31:00Z,2024-06-13T15:46:00Z,EDT,6.7,0.2655,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,E3,FW_E3_DOC_20240613_T4,2024-06-12T22:42:00Z,2024-06-13T16:02:00Z,EDT,7.743,0.2734,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20240613_T4,2024-06-12T22:23:00Z,2024-06-13T15:34:00Z,EDT,4.353,0.1827,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240613_T4,2024-06-12T22:00:00Z,2024-06-13T15:22:00Z,EDT,5.909,0.2236,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240613_T5,2024-06-13T16:37:00Z,2024-06-13T22:44:00Z,EDT,5.297,0.4489,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240613_T5,2024-06-13T16:16:00Z,2024-06-13T22:57:00Z,EDT,5.799,0.3637,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,H6,SW_H6_DOC_20240613_T5,2024-06-13T15:08:00Z,2024-06-13T21:46:00Z,EDT,5.856,0.6584,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,I5,SW_I5_DOC_20240613_T5,2024-06-13T15:24:00Z,2024-06-13T21:52:00Z,EDT,7.362,0.4944,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,C3,FW_C3_DOC_20240613_T5,2024-06-13T16:17:00Z,2024-06-13T23:24:00Z,EDT,4.385,0.1474,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240613_T5,2024-06-13T16:43:00Z,2024-06-13T22:37:00Z,EDT,3.634,0.09916,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20240613_T5,2024-06-13T16:57:00Z,2024-06-13T23:12:00Z,EDT,6.34,0.2473,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,E3,FW_E3_DOC_20240613_T5,2024-06-13T16:02:00Z,2024-06-13T22:30:00Z,EDT,7.736,0.3197,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20240613_T5,2024-06-13T15:46:00Z,2024-06-13T22:06:00Z,EDT,5.846,0.1936,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,H3,FW_H3_DOC_20240613_T5,2024-06-13T15:34:00Z,2024-06-13T21:56:00Z,EDT,4.532,0.185,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240613_T5,2024-06-13T15:22:00Z,2024-06-13T21:42:00Z,EDT,5.037,0.3525,NPOC checks out of range,TN checks out of range
2024-06-07,COMPASS: TEMPEST,Control,H3,C_H3_DOC_20240607,2024-06-04T19:03:00Z,2024-06-07T18:02:00Z,EDT,18.52,1.475,NPOC checks out of range,TN checks out of range
2024-06-07,COMPASS: TEMPEST,Saltwater,H3,SW_H3_DOC_20240607,2024-06-04T20:05:00Z,2024-06-07T18:56:00Z,EDT,35.2,1.528,NPOC checks out of range,TN checks out of range
2024-06-07,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240607,2024-06-04T19:51:00Z,2024-06-07T21:34:00Z,EDT,8.779,0.4539,NPOC checks out of range,TN checks out of range
2024-06-07,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240607,2024-06-04T19:15:00Z,2024-06-07T22:03:00Z,EDT,12.6,0.5109,NPOC checks out of range,TN checks out of range
2024-06-17,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240617,2024-06-14T22:06:00Z,2024-06-17T18:12:00Z,EDT,5.447,0.4675,NPOC checks out of range,TN checks out of range
2024-06-17,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240617,2024-06-14T21:43:00Z,2024-06-17T18:24:00Z,EDT,7.377,0.4362,NPOC checks out of range,TN checks out of range
2024-06-17,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240617,2024-06-14T21:20:00Z,2024-06-17T17:40:00Z,EDT,4.416,0.6946,NPOC checks out of range,TN checks out of range
2024-06-17,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240617,2024-06-14T21:55:00Z,2024-06-17T17:24:00Z,EDT,5.757,0.2263,NPOC checks out of range,TN checks out of range
2024-06-17,COMPASS: TEMPEST,Freshwater,D5,FW_D5_DOC_20240617,2024-06-14T21:34:00Z,2024-06-17T17:15:00Z,EDT,6.783,0.2202,NPOC checks out of range,TN checks out of range
2024-06-17,COMPASS: TEMPEST,Freshwater,F4,FW_F4_DOC_20240617,2024-06-14T22:35:00Z,2024-06-17T16:58:00Z,EDT,8.772,0.3446,NPOC checks out of range,TN checks out of range
2024-06-17,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240617,2024-06-14T20:42:00Z,2024-06-17T16:36:00Z,EDT,8.705,0.6735,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240611_AM,NA,2024-06-11T18:59:00Z,EDT,4.668,0.3559,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240611_MID,NA,2024-06-11T18:59:00Z,EDT,4.873,0.3409,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240611_PM,NA,2024-06-11T18:59:00Z,EDT,5.117,0.3878,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240612_AM,NA,2024-06-12T18:59:00Z,EDT,5.09,0.387,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240612_MID,NA,2024-06-12T18:59:00Z,EDT,4.955,0.4316,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240612_PM,NA,2024-06-12T18:59:00Z,EDT,4.966,0.3624,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240613_AM,NA,2024-06-13T18:59:00Z,EDT,4.992,0.3748,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240613_MID,NA,2024-06-13T18:59:00Z,EDT,5.133,0.3225,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Saltwater,NA,SW_SOURCEWATER_DOC_20240613_PM,NA,2024-06-13T18:59:00Z,EDT,5.745,0.3301,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240611_AM,NA,2024-06-11T18:59:00Z,EDT,0.8408,0.1068,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240611_MID,NA,2024-06-11T18:59:00Z,EDT,0.7946,-0.02565,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240611_PM,NA,2024-06-11T18:59:00Z,EDT,0.7258,-0.00574,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240612_AM,NA,2024-06-12T18:59:00Z,EDT,0.7821,-0.00395,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240612_MID,NA,2024-06-12T18:59:00Z,EDT,0.5653,-0.01697,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240612_PM,NA,2024-06-12T18:59:00Z,EDT,0.7364,-0.01577,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240613_AM,NA,2024-06-13T18:59:00Z,EDT,0.8965,0.01293,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240613_MID,NA,2024-06-13T18:59:00Z,EDT,0.6947,-0.01852,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Freshwater,NA,FW_SOURCEWATER_DOC_20240613_PM,NA,2024-06-13T18:59:00Z,EDT,0.6873,0.021,NPOC checks out of range; blank is ≥ 25% of sample value,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Estuary,NA,ESTUARY_SOURCEWATER_DOC_20240611_PM,NA,2024-06-11T18:59:00Z,EDT,5.054,0.3493,NPOC checks out of range,TN checks out of range
2024-06-11,COMPASS: TEMPEST,Estuary,NA,ESTUARY_SOURCEWATER_DOC_20240611_AM,NA,2024-06-11T18:59:00Z,EDT,4.621,0.294,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Estuary,NA,ESTUARY_SOURCEWATER_DOC_20240612_PM,NA,2024-06-12T18:59:00Z,EDT,5.53,0.3982,NPOC checks out of range,TN checks out of range
2024-06-12,COMPASS: TEMPEST,Estuary,NA,ESTUARY_SOURCEWATER_DOC_20240612_AM,NA,2024-06-12T18:59:00Z,EDT,4.642,0.3183,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Estuary,NA,ESTUARY_SOURCEWATER_DOC_20240613_PM,NA,2024-06-13T18:59:00Z,EDT,5.328,0.3359,NPOC checks out of range,TN checks out of range
2024-06-13,COMPASS: TEMPEST,Estuary,NA,ESTUARY_SOURCEWATER_DOC_20240613_AM,NA,2024-06-13T18:59:00Z,EDT,4.738,0.3708,NPOC checks out of range,TN checks out of range
2024-06-24,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240624,2024-06-21T18:57:00Z,2024-06-24T17:05:00Z,EDT,4.969,6.704,NPOC checks out of range,TN r2 low; TN checks out of range; value above cal curve
2024-06-24,COMPASS: TEMPEST,Freshwater,C6,FW_C6_DOC_20240624,2024-06-21T19:10:00Z,2024-06-24T17:29:00Z,EDT,7.708,16.18,NPOC checks out of range,TN r2 low; TN checks out of range; value above cal curve
2024-07-15,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240715,2024-07-11T17:46:00Z,2024-07-15T19:24:00Z,EDT,5.321,0.121,NPOC checks out of range,TN r2 low; TN checks out of range; blank is > 25% of sample value
2024-08-08,COMPASS: TEMPEST,Freshwater,I5,FW_I5_DOC_20240808,2024-08-05T16:19:00Z,2024-08-08T15:18:00Z,EDT,28.77,4.368,NA,value above cal curve
2024-08-05,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20240805,2024-08-02T18:36:00Z,2024-08-05T17:44:00Z,EDT,10.8,0.6228,NA,NA
2024-08-02,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240802,2024-07-30T15:27:00Z,2024-08-02T18:22:00Z,EDT,8.801,1.031,NA,NA
2024-08-05,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240805,2024-08-02T18:22:00Z,2024-08-05T17:53:00Z,EDT,9.924,0.6386,NA,NA
2024-08-02,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240802,2024-07-30T15:34:00Z,2024-08-02T18:43:00Z,EDT,4.006,0.4656,NA,NA
2024-08-05,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240805,2024-08-02T18:43:00Z,2024-08-05T17:30:00Z,EDT,6.315,0.4707,NA,NA
2024-08-02,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240802,2024-07-30T15:36:00Z,2024-08-02T18:53:00Z,EDT,4.719,0.4649,NA,NA
2024-08-08,COMPASS: TEMPEST,Saltwater,H3,SW_H3_DOC_20240808,2024-08-05T17:02:00Z,2024-08-08T16:46:00Z,EDT,6.53,0.4862,NA,NA
2024-08-08,COMPASS: TEMPEST,Saltwater,H6,SW_H6_DOC_20240808,2024-08-05T16:54:00Z,2024-08-08T16:25:00Z,EDT,9.555,0.6142,NA,NA
2024-08-08,COMPASS: TEMPEST,Saltwater,I5,SW_I5_DOC_20240808,2024-08-05T16:56:00Z,2024-08-08T16:35:00Z,EDT,11.67,0.8969,NA,NA
2024-08-12,COMPASS: TEMPEST,Saltwater,C6,SW_C6_DOC_20240812,2024-08-08T16:00:00Z,2024-08-12T17:15:00Z,EDT,11.55,2.097,NA,NA
2024-08-12,COMPASS: TEMPEST,Saltwater,E3,SW_E3_DOC_20240812,2024-08-08T17:02:00Z,2024-08-12T17:40:00Z,EDT,4.861,0.3165,NA,NA
2024-09-06,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20240906,2024-09-03T16:00:00Z,2024-09-06T18:15:00Z,EDT,9.329,0.6664,NPOC checks out of range,NA
2024-09-06,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20240906,2024-09-03T16:10:00Z,2024-09-06T18:40:00Z,EDT,5.781,0.2683,NPOC checks out of range,blank is < 25% of sample value
2024-09-06,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20240906,2024-09-03T16:13:00Z,2024-09-06T18:51:00Z,EDT,6.013,0.353,NPOC checks out of range,NA
2024-10-03,COMPASS: TEMPEST,Control,C6,C_C6_DOC_20241003,2024-09-30T18:27:00Z,2024-10-03T21:24:00Z,EDT,68.83,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,B4,SW_B4_DOC_20241003,2024-09-30T16:48:00Z,2024-10-03T21:15:00Z,EDT,27.44,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,C3,SW_C3_DOC_20241003,2024-09-30T16:45:00Z,2024-10-03T21:02:00Z,EDT,31.81,NA,NPOC checks out of range,"TN broken, no data"
2024-10-07,COMPASS: TEMPEST,Saltwater,C6,SW_C6_DOC_20241007,2024-10-03T19:33:00Z,2024-10-07T17:31:00Z,EDT,29.69,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,D5,SW_D5_DOC_20241003,2024-09-30T16:28:00Z,2024-10-03T19:40:00Z,EDT,15.02,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,E3,SW_E3_DOC_20241003,2024-09-30T18:38:00Z,2024-10-03T20:55:00Z,EDT,11.55,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,F4,SW_F4_DOC_20241003,2024-09-30T16:40:00Z,2024-10-03T20:47:00Z,EDT,8.778,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,F6,SW_F6_DOC_20241003,2024-09-30T18:13:00Z,2024-10-03T19:55:00Z,EDT,11.84,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,H3,SW_H3_DOC_20241003,2024-09-30T16:38:00Z,2024-10-03T20:36:00Z,EDT,21.63,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,H6,SW_H6_DOC_20241003,2024-09-30T16:35:00Z,2024-10-03T20:04:00Z,EDT,70.1,NA,NPOC checks out of range,"TN broken, no data"
2024-10-03,COMPASS: TEMPEST,Saltwater,I5,SW_I5_DOC_20241003,2024-09-30T16:36:00Z,2024-10-03T20:26:00Z,EDT,23.34,NA,NPOC checks out of range,"TN broken, no data"
2024-12-13,COMPASS: TEMPEST,Control,C6,C_C6_DOC_20241213,2024-12-10T22:44:00Z,2024-12-13T22:12:00Z,EST,23.06,0.7241,NA,NA
2024-12-13,COMPASS: TEMPEST,Control,D5,C_D5_DOC_20241213,2024-12-10T22:48:00Z,2024-12-13T22:30:00Z,EST,21.69,0.366,NA,NA
2024-12-13,COMPASS: TEMPEST,Control,E3,C_E3_DOC_20241213,2024-12-10T22:34:00Z,2024-12-13T22:50:00Z,EST,24.06,0.6108,NA,NA
2024-12-13,COMPASS: TEMPEST,Control,F6,C_F6_DOC_20241213,2024-12-10T22:25:00Z,2024-12-13T23:15:00Z,EST,30.31,0.6577,NA,NA
2024-12-13,COMPASS: TEMPEST,Control,H6,C_H6_DOC_20241213,2024-12-10T22:21:00Z,2024-12-13T23:11:00Z,EST,16.43,0.4995,NA,NA
