RUNSTARTED,1770664789,2/9/2026 14:19,,,Concentration,Absorbance,,Dilution,,,,,,
RESULT,13,U9,TMP_FW_H3_T3_20240612,19,0.006664,0.023106,0,0,0,0,mg N/L,Ammonia 2,1770669074,2/9/2026 15:31
RESULT,14,U10,TMP_FW_H6_T3_20240612,20,0.010969,0.025441,0,0,0,0,mg N/L,Ammonia 2,1770669234,2/9/2026 15:33
RESULT,14,C13,Duplicate,21,0.012535,0.026291,0,0,0,0,mg N/L,Ammonia 2,1770669394,2/9/2026 15:36
QCPRORESULT,DUPLICATE,13.32823,1770669394,,,,,,,,,,,
QCPRODECISION,OUT,1770669394,,,,,,,,,,,,
QCPROACTION,CONTINUE,1770669394,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,22,1.046336,0.587076,0,0,0,0,mg N/L,Ammonia 2,1770669554,2/9/2026 15:39
QCPRORESULT,NORMAL,0,1770669554,,,,,,,,,,,
QCPRODECISION,IN,1770669554,,,,,,,,,,,,
RESULT,-3,C12,Blank,23,-0.003785,0.017438,0,0,0,0,mg N/L,Ammonia 2,1770669714,2/9/2026 15:41
QCPRORESULT,NORMAL,0,1770669714,,,,,,,,,,,
QCPRODECISION,IN,1770669714,,,,,,,,,,,,
RESULT,15,U11,TMP_FW_D5_T3_20240612,24,0.008956,0.02435,0,0,0,0,mg N/L,Ammonia 2,1770669874,2/9/2026 15:44
RESULT,15,C14,Auto Spike,25,1.063339,0.508312,0,0,0,0,mg N/L,Ammonia 2,1770670034,2/9/2026 15:47
QCPRORESULT,AUTO SPIKE,105.438354,1770670034,,,,,,,,,,,
QCPRODECISION,IN,1770670034,,,,,,,,,,,,
RESULT,16,U12,TMP_FW_E3_T3_20240612,26,0.016086,0.028217,0,0,0,0,mg N/L,Ammonia 2,1770670194,2/9/2026 15:49
RESULT,17,U13,TMP_FW_I5_T3_20240612,27,0.024698,0.032889,0,0,0,0,mg N/L,Ammonia 2,1770670354,2/9/2026 15:52
RESULT,18,U14,TMP_SW_C3_T3_20240612,28,0.017387,0.028923,0,0,0,0,mg N/L,Ammonia 2,1770670514,2/9/2026 15:55
RESULT,19,U15,TMP_SW_H6_T3_20240612,29,0.064609,0.054539,0,0,0,0,mg N/L,Ammonia 2,1770670674,2/9/2026 15:57
RESULT,20,U16,TMP_SW_B4_T3_20240612,30,0.197777,0.126775,0,0,0,0,mg N/L,Ammonia 2,1770670834,2/9/2026 16:00
RESULT,21,U17,TMP_SW_F6_T2_20240612,31,0.021835,0.031336,0,0,0,0,mg N/L,Ammonia 2,1770670994,2/9/2026 16:03
RESULT,22,U18,TMP_SW_C3_T4_20240613,32,0.011191,0.025562,0,0,0,0,mg N/L,Ammonia 2,1770671154,2/9/2026 16:05
RESULT,23,U19,TMP_SW_B4_T4_20240613,33,0.091048,0.068881,0,0,0,0,mg N/L,Ammonia 2,1770671314,2/9/2026 16:08
RESULT,-3,C11,1mg/L ammonia,34,1.117053,0.625436,0,0,0,0,mg N/L,Ammonia 2,1770671474,2/9/2026 16:11
QCPRORESULT,NORMAL,0.017053,1770671474,,,,,,,,,,,
QCPRODECISION,OUT,1770671474,,,,,,,,,,,,
QCPROACTION,CONTINUE,1770671474,,,,,,,,,,,,
RESULT,-3,C12,Blank,35,0.000367,0.01969,0,0,0,0,mg N/L,Ammonia 2,1770671634,2/9/2026 16:13
QCPRORESULT,NORMAL,0,1770671634,,,,,,,,,,,
QCPRODECISION,IN,1770671634,,,,,,,,,,,,
RESULT,24,U20,TMP_SW_F6_T4_20240613,36,0.010237,0.025044,0,0,0,0,mg N/L,Ammonia 2,1770671794,2/9/2026 16:16
RESULT,25,U21,TMP_SW_E3_T4_20240613,37,0.031715,0.036695,0,0,0,0,mg N/L,Ammonia 2,1770671954,2/9/2026 16:19
RESULT,25,C13,Duplicate,38,0.03355,0.03769,0,0,0,0,mg N/L,Ammonia 2,1770672114,2/9/2026 16:21
QCPRORESULT,DUPLICATE,5.62261,1770672114,,,,,,,,,,,
QCPRODECISION,IN,1770672114,,,,,,,,,,,,
RESULT,26,U22,TMP_FW_C3_T6_20240614,39,0.009194,0.024479,0,0,0,0,mg N/L,Ammonia 2,1770672275,2/9/2026 16:24
RESULT,26,C14,Auto Spike,40,1.139678,0.543405,0,0,0,0,mg N/L,Ammonia 2,1770672435,2/9/2026 16:27
QCPRORESULT,AUTO SPIKE,113.048439,1770672435,,,,,,,,,,,
QCPRODECISION,IN,1770672435,,,,,,,,,,,,
RESULT,27,U23,TMP_FW_C6_T6_20240614,41,0.011925,0.02596,0,0,0,0,mg N/L,Ammonia 2,1770672595,2/9/2026 16:29
RESULT,28,U24,TMP_FW_F4_T6_20240614,42,0.009093,0.024424,0,0,0,0,mg N/L,Ammonia 2,1770672755,2/9/2026 16:32
RESULT,29,U25,TMP_FW_H3_T6_20240614,43,0.014026,0.0271,0,0,0,0,mg N/L,Ammonia 2,1770672915,2/9/2026 16:35
RESULT,30,U26,TMP_FW_H6_T6_20240614,44,0.067907,0.056328,0,0,0,0,mg N/L,Ammonia 2,1770673075,2/9/2026 16:37
RESULT,31,U27,TMP_FW_D5_T6_20240614,45,0.01067,0.02528,0,0,0,0,mg N/L,Ammonia 2,1770673235,2/9/2026 16:40
RESULT,-3,C11,1mg/L ammonia,46,1.088799,0.61011,0,0,0,0,mg N/L,Ammonia 2,1770673395,2/9/2026 16:43
QCPRORESULT,NORMAL,0,1770673395,,,,,,,,,,,
QCPRODECISION,IN,1770673395,,,,,,,,,,,,
RESULT,-3,C12,Blank,47,-0.003508,0.017588,0,0,0,0,mg N/L,Ammonia 2,1770673555,2/9/2026 16:45
QCPRORESULT,NORMAL,0,1770673555,,,,,,,,,,,
QCPRODECISION,IN,1770673555,,,,,,,,,,,,
RESULT,32,U28,TMP_FW_I5_T6_20240614,48,0.026124,0.033662,0,0,0,0,mg N/L,Ammonia 2,1770673716,2/9/2026 16:48
RESULT,33,U29,TMP_SW_C3_T6_20240614,49,0.013939,0.027053,0,0,0,0,mg N/L,Ammonia 2,1770673876,2/9/2026 16:51
RESULT,34,U30,TMP_SW_B4_T6_20240614,50,0.082775,0.064393,0,0,0,0,mg N/L,Ammonia 2,1770674036,2/9/2026 16:53
RESULT,35,U31,TMP_SW_D5_T6_20240614,51,0.024405,0.03273,0,0,0,0,mg N/L,Ammonia 2,1770674196,2/9/2026 16:56
RESULT,36,U32,TMP_SW_F6_T6_20240614,52,0.015622,0.027966,0,0,0,0,mg N/L,Ammonia 2,1770674356,2/9/2026 16:59
RESULT,36,C13,Duplicate,53,0.012567,0.026308,0,0,0,0,mg N/L,Ammonia 2,1770674516,2/9/2026 17:01
QCPRORESULT,DUPLICATE,21.676495,1770674516,,,,,,,,,,,
QCPRODECISION,OUT,1770674516,,,,,,,,,,,,
QCPROACTION,CONTINUE,1770674516,,,,,,,,,,,,
RESULT,37,U33,TMP_FW_C6_20240617,54,0.013289,0.0267,0,0,0,0,mg N/L,Ammonia 2,1770674677,2/9/2026 17:04
RESULT,37,C14,Auto Spike,55,1.069955,0.511353,0,0,0,0,mg N/L,Ammonia 2,1770674837,2/9/2026 17:07
QCPRORESULT,AUTO SPIKE,105.666588,1770674837,,,,,,,,,,,
QCPRODECISION,IN,1770674837,,,,,,,,,,,,
RESULT,38,U34,TMP_FW_F4_20240617,56,0.015188,0.02773,0,0,0,0,mg N/L,Ammonia 2,1770674998,2/9/2026 17:09
RESULT,39,U35,TMP_FW_D5_20240617,57,0.013785,0.026969,0,0,0,0,mg N/L,Ammonia 2,1770675158,2/9/2026 17:12
RESULT,-3,C11,1mg/L ammonia,58,1.043408,0.585487,0,0,0,0,mg N/L,Ammonia 2,1770675318,2/9/2026 17:15
QCPRORESULT,NORMAL,0,1770675318,,,,,,,,,,,
QCPRODECISION,IN,1770675318,,,,,,,,,,,,
RESULT,-3,C12,Blank,59,-0.002533,0.018117,0,0,0,0,mg N/L,Ammonia 2,1770675480,2/9/2026 17:18
QCPRORESULT,NORMAL,0,1770675480,,,,,,,,,,,
QCPRODECISION,IN,1770675480,,,,,,,,,,,,
RESULT,40,U36,TMP_FW_I5_20240617,60,0.1476,0.099557,0,0,0,0,mg N/L,Ammonia 2,1770675641,2/9/2026 17:20
RESULT,41,U37,TMP_SW_C3_20240617,61,0.027092,0.034188,0,0,0,0,mg N/L,Ammonia 2,1770675801,2/9/2026 17:23
RESULT,42,U38,TMP_SW_B4_20240617,62,0.106912,0.077486,0,0,0,0,mg N/L,Ammonia 2,1770675961,2/9/2026 17:26
RESULT,42,C13,Duplicate,63,0.107827,0.077982,0,0,0,0,mg N/L,Ammonia 2,1770676121,2/9/2026 17:28
QCPRORESULT,DUPLICATE,0.851933,1770676121,,,,,,,,,,,
QCPRODECISION,IN,1770676121,,,,,,,,,,,,
RESULT,43,U39,TMP_SW_F6_20240617,64,0.304038,0.184416,0,0,0,0,mg N/L,Ammonia 2,1770676283,2/9/2026 17:31
RESULT,43,C14,Auto Spike,65,1.495909,0.707165,0,0,0,0,mg N/L,Ammonia 2,1770676443,2/9/2026 17:34
QCPRORESULT,AUTO SPIKE,119.187103,1770676443,,,,,,,,,,,
QCPRODECISION,IN,1770676443,,,,,,,,,,,,
RESULT,44,U40,10ppt_mtx,66,0.009036,0.024393,0,0,0,0,mg N/L,Ammonia 2,1770676604,2/9/2026 17:36
RESULT,44,C14,Auto Spike,67,1.091258,0.521146,0,0,0,0,mg N/L,Ammonia 2,1770676764,2/9/2026 17:39
QCPRORESULT,AUTO SPIKE,108.222244,1770676764,,,,,,,,,,,
QCPRODECISION,IN,1770676764,,,,,,,,,,,,
RESULT,45,U41,20ppt_mtx,68,0.016216,0.028288,0,0,0,0,mg N/L,Ammonia 2,1770676925,2/9/2026 17:42
RESULT,45,C14,Auto Spike,69,1.085923,0.518693,0,0,0,0,mg N/L,Ammonia 2,1770677085,2/9/2026 17:44
QCPRORESULT,AUTO SPIKE,106.970703,1770677085,,,,,,,,,,,
QCPRODECISION,IN,1770677085,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,70,1.086287,0.608747,0,0,0,0,mg N/L,Ammonia 2,1770677247,2/9/2026 17:47
QCPRORESULT,NORMAL,0,1770677247,,,,,,,,,,,
QCPRODECISION,IN,1770677247,,,,,,,,,,,,
RESULT,-3,C12,Blank,71,0.001051,0.020062,0,0,0,0,mg N/L,Ammonia 2,1770677408,2/9/2026 17:50
QCPRORESULT,NORMAL,0,1770677408,,,,,,,,,,,
QCPRODECISION,IN,1770677408,,,,,,,,,,,,
RESULT,46,U42,PE_chk,72,1.146297,0.641299,0,0,0,0,mg N/L,Ammonia 2,1770677565,2/9/2026 17:52
RESULT,46,C13,Duplicate,73,1.140958,0.638403,0,0,0,0,mg N/L,Ammonia 2,1770677729,2/9/2026 17:55
QCPRORESULT,DUPLICATE,0.466892,1770677729,,,,,,,,,,,
QCPRODECISION,IN,1770677729,,,,,,,,,,,,
RESULT,-3,C11,1mg/L ammonia,74,1.025856,0.575966,0,0,0,0,mg N/L,Ammonia 2,1770677890,2/9/2026 17:58
QCPRORESULT,NORMAL,0,1770677890,,,,,,,,,,,
QCPRODECISION,IN,1770677890,,,,,,,,,,,,
RESULT,-3,C12,Blank,75,-0.002452,0.018161,0,0,0,0,mg N/L,Ammonia 2,1770678051,2/9/2026 18:00
QCPRORESULT,NORMAL,0,1770678051,,,,,,,,,,,
QCPRODECISION,IN,1770678051,,,,,,,,,,,,
RESULT,-1,S1,Standard 1,0,0.001083,0.001083,0,0,0,0,mg P/L,o-PHOS 0.3,1770678544,2/9/2026 18:09
RESULT,-2,S90,Standard .006,1,0.003011,0.003011,0,0,0,0,mg P/L,o-PHOS 0.3,1770678625,2/9/2026 18:10
RESULT,-2,S91,Standard .0150,2,0.00673,0.00673,0,0,0,0,mg P/L,o-PHOS 0.3,1770678706,2/9/2026 18:11
RESULT,-2,S92,Standard .03,3,0.013342,0.013342,0,0,0,0,mg P/L,o-PHOS 0.3,1770678787,2/9/2026 18:13
RESULT,-2,S93,Standard .075,4,0.033062,0.033062,0,0,0,0,mg P/L,o-PHOS 0.3,1770678868,2/9/2026 18:14
RESULT,-2,S94,Standard .15,5,0.06618,0.06618,0,0,0,0,mg P/L,o-PHOS 0.3,1770678948,2/9/2026 18:15
RESULT,-2,S95,Standard .225,6,0.10039,0.10039,0,0,0,0,mg P/L,o-PHOS 0.3,1770679029,2/9/2026 18:17
RESULT,-2,S96,Standard .3,7,0.129628,0.129628,0,0,0,0,mg P/L,o-PHOS 0.3,1770679110,2/9/2026 18:18
RESULT,-1,S0,Standard 0,8,0.001069,0.001069,0,0,0,0,mg P/L,o-PHOS 0.3,1770679191,2/9/2026 18:19
CALIBRATION,o-PHOS 0.3,1770679191,2/9/2026 18:19,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,9,0.145457,0.063893,0,0,0,0,mg P/L,o-PHOS 0.3,1770679272,2/9/2026 18:21
QCPRORESULT,NORMAL,0,1770679272,,,,,,,,,,,
QCPRODECISION,IN,1770679272,,,,,,,,,,,,
RESULT,-3,C12,Blank,10,0.000793,0.000979,0,0,0,0,mg P/L,o-PHOS 0.3,1770679353,2/9/2026 18:22
QCPRORESULT,NORMAL,0,1770679353,,,,,,,,,,,
QCPRODECISION,IN,1770679353,,,,,,,,,,,,
RESULT,5,U1,TMP_C_H3_20240607,11,0.006615,0.003511,0,0,0,0,mg P/L,o-PHOS 0.3,1770679435,2/9/2026 18:23
RESULT,6,U2,TMP_C_H6_20240607,12,0.00666,0.00353,0,0,0,0,mg P/L,o-PHOS 0.3,1770679516,2/9/2026 18:25
RESULT,7,U3,TMP_FW_C6_20240607,13,0.018757,0.008791,0,0,0,0,mg P/L,o-PHOS 0.3,1770679597,2/9/2026 18:26
RESULT,8,U4,TMP_FW_I5_20240607,14,0.004847,0.002742,0,0,0,0,mg P/L,o-PHOS 0.3,1770679678,2/9/2026 18:27
RESULT,9,U5,TMP_FW_C3_T1_20240611,15,0.003544,0.002175,0,0,0,0,mg P/L,o-PHOS 0.3,1770679759,2/9/2026 18:29
RESULT,10,U6,TMP_FW_C3_T3_20240612,16,0.003291,0.002065,0,0,0,0,mg P/L,o-PHOS 0.3,1770679840,2/9/2026 18:30
RESULT,11,U7,TMP_FW_C6_T3_20240612,17,0.012848,0.006222,0,0,0,0,mg P/L,o-PHOS 0.3,1770679921,2/9/2026 18:32
RESULT,12,U8,TMP_FW_F4_T3_20240612,18,0.025628,0.01178,0,0,0,0,mg P/L,o-PHOS 0.3,1770680001,2/9/2026 18:33
RESULT,13,U9,TMP_FW_H3_T3_20240612,19,0.002457,0.001702,0,0,0,0,mg P/L,o-PHOS 0.3,1770680083,2/9/2026 18:34
RESULT,14,U10,TMP_FW_H6_T3_20240612,20,0.004841,0.002739,0,0,0,0,mg P/L,o-PHOS 0.3,1770680163,2/9/2026 18:36
RESULT,14,C13,Duplicate,21,0.005617,0.003077,0,0,0,0,mg P/L,o-PHOS 0.3,1770680245,2/9/2026 18:37
QCPRORESULT,DUPLICATE,14.847358,1770680245,,,,,,,,,,,
QCPRODECISION,OUT,1770680245,,,,,,,,,,,,
QCPROACTION,CONTINUE,1770680245,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,22,0.141462,0.062155,0,0,0,0,mg P/L,o-PHOS 0.3,1770680326,2/9/2026 18:38
QCPRORESULT,NORMAL,0,1770680326,,,,,,,,,,,
QCPRODECISION,IN,1770680326,,,,,,,,,,,,
RESULT,-3,C12,Blank,23,0.000981,0.00106,0,0,0,0,mg P/L,o-PHOS 0.3,1770680408,2/9/2026 18:40
QCPRORESULT,NORMAL,0,1770680408,,,,,,,,,,,
QCPRODECISION,IN,1770680408,,,,,,,,,,,,
RESULT,15,U11,TMP_FW_D5_T3_20240612,24,0.003436,0.002128,0,0,0,0,mg P/L,o-PHOS 0.3,1770680490,2/9/2026 18:41
RESULT,15,C14,Auto Spike,25,0.12621,0.053878,0,0,0,0,mg P/L,o-PHOS 0.3,1770680571,2/9/2026 18:42
QCPRORESULT,AUTO SPIKE,80.772949,1770680571,,,,,,,,,,,
QCPRODECISION,IN,1770680571,,,,,,,,,,,,
RESULT,16,U12,TMP_FW_E3_T3_20240612,26,0.00595,0.003221,0,0,0,0,mg P/L,o-PHOS 0.3,1770680653,2/9/2026 18:44
RESULT,17,U13,TMP_FW_I5_T3_20240612,27,0.004419,0.002556,0,0,0,0,mg P/L,o-PHOS 0.3,1770680734,2/9/2026 18:45
RESULT,18,U14,TMP_SW_C3_T3_20240612,28,0.00227,0.001621,0,0,0,0,mg P/L,o-PHOS 0.3,1770680816,2/9/2026 18:46
RESULT,19,U15,TMP_SW_H6_T3_20240612,29,0.004087,0.002412,0,0,0,0,mg P/L,o-PHOS 0.3,1770680897,2/9/2026 18:48
RESULT,20,U16,TMP_SW_B4_T3_20240612,30,0.004039,0.00239,0,0,0,0,mg P/L,o-PHOS 0.3,1770680978,2/9/2026 18:49
RESULT,21,U17,TMP_SW_F6_T2_20240612,31,0.004414,0.002554,0,0,0,0,mg P/L,o-PHOS 0.3,1770681058,2/9/2026 18:50
RESULT,22,U18,TMP_SW_C3_T4_20240613,32,0.002136,0.001563,0,0,0,0,mg P/L,o-PHOS 0.3,1770681140,2/9/2026 18:52
RESULT,23,U19,TMP_SW_B4_T4_20240613,33,0.004468,0.002577,0,0,0,0,mg P/L,o-PHOS 0.3,1770681221,2/9/2026 18:53
RESULT,-3,C11,0.15 mg/L,34,0.145693,0.063996,0,0,0,0,mg P/L,o-PHOS 0.3,1770681302,2/9/2026 18:55
QCPRORESULT,NORMAL,0,1770681302,,,,,,,,,,,
QCPRODECISION,IN,1770681302,,,,,,,,,,,,
RESULT,-3,C12,Blank,35,0.001224,0.001166,0,0,0,0,mg P/L,o-PHOS 0.3,1770681384,2/9/2026 18:56
QCPRORESULT,NORMAL,0,1770681384,,,,,,,,,,,
QCPRODECISION,IN,1770681384,,,,,,,,,,,,
RESULT,24,U20,TMP_SW_F6_T4_20240613,36,0.00153,0.001299,0,0,0,0,mg P/L,o-PHOS 0.3,1770681466,2/9/2026 18:57
RESULT,25,U21,TMP_SW_E3_T4_20240613,37,0.002296,0.001632,0,0,0,0,mg P/L,o-PHOS 0.3,1770681548,2/9/2026 18:59
RESULT,25,C13,Duplicate,38,0.002079,0.001538,0,0,0,0,mg P/L,o-PHOS 0.3,1770681629,2/9/2026 19:00
QCPRORESULT,DUPLICATE,9.910233,1770681629,,,,,,,,,,,
QCPRODECISION,IN,1770681629,,,,,,,,,,,,
RESULT,26,U22,TMP_FW_C3_T6_20240614,39,0.006259,0.003356,0,0,0,0,mg P/L,o-PHOS 0.3,1770681711,2/9/2026 19:01
RESULT,26,C14,Auto Spike,40,0.12418,0.053021,0,0,0,0,mg P/L,o-PHOS 0.3,1770681792,2/9/2026 19:03
QCPRORESULT,AUTO SPIKE,77.579323,1770681792,,,,,,,,,,,
QCPRODECISION,IN,1770681792,,,,,,,,,,,,
RESULT,27,U23,TMP_FW_C6_T6_20240614,41,0.012687,0.006152,0,0,0,0,mg P/L,o-PHOS 0.3,1770681874,2/9/2026 19:04
RESULT,28,U24,TMP_FW_F4_T6_20240614,42,0.004781,0.002713,0,0,0,0,mg P/L,o-PHOS 0.3,1770681955,2/9/2026 19:05
RESULT,29,U25,TMP_FW_H3_T6_20240614,43,0.003135,0.001997,0,0,0,0,mg P/L,o-PHOS 0.3,1770682036,2/9/2026 19:07
RESULT,30,U26,TMP_FW_H6_T6_20240614,44,0.037088,0.016763,0,0,0,0,mg P/L,o-PHOS 0.3,1770682117,2/9/2026 19:08
RESULT,31,U27,TMP_FW_D5_T6_20240614,45,0.003199,0.002025,0,0,0,0,mg P/L,o-PHOS 0.3,1770682198,2/9/2026 19:09
RESULT,-3,C11,0.15 mg/L,46,0.144947,0.063671,0,0,0,0,mg P/L,o-PHOS 0.3,1770682279,2/9/2026 19:11
QCPRORESULT,NORMAL,0,1770682279,,,,,,,,,,,
QCPRODECISION,IN,1770682279,,,,,,,,,,,,
RESULT,-3,C12,Blank,47,0.001047,0.001089,0,0,0,0,mg P/L,o-PHOS 0.3,1770682361,2/9/2026 19:12
QCPRORESULT,NORMAL,0,1770682361,,,,,,,,,,,
QCPRODECISION,IN,1770682361,,,,,,,,,,,,
RESULT,32,U28,TMP_FW_I5_T6_20240614,48,0.004567,0.00262,0,0,0,0,mg P/L,o-PHOS 0.3,1770682444,2/9/2026 19:14
RESULT,33,U29,TMP_SW_C3_T6_20240614,49,1.33567,0.581516,0,0,0,19,mg P/L,o-PHOS 0.3,1770682525,2/9/2026 19:15
AUTODILUTION,APPROVED,1770682525,,,,,,,,,,,,
AUTODILUTION,ADDED,1770682525,,,,,,,,,,,,
RESULT,34,U30,TMP_SW_B4_T6_20240614,50,0.002858,0.001877,0,0,0,0,mg P/L,o-PHOS 0.3,1770682606,2/9/2026 19:16
RESULT,35,U31,TMP_SW_D5_T6_20240614,51,0.002498,0.00172,0,0,0,0,mg P/L,o-PHOS 0.3,1770682688,2/9/2026 19:18
RESULT,36,U32,TMP_SW_F6_T6_20240614,52,0.001473,0.001275,0,0,0,0,mg P/L,o-PHOS 0.3,1770682768,2/9/2026 19:19
RESULT,36,C13,Duplicate,53,0.001911,0.001465,0,0,0,0,mg P/L,o-PHOS 0.3,1770682850,2/9/2026 19:20
QCPRORESULT,DUPLICATE,25.887756,1770682850,,,,,,,,,,,
QCPRODECISION,OUT,1770682850,,,,,,,,,,,,
QCPROACTION,CONTINUE,1770682850,,,,,,,,,,,,
RESULT,37,U33,TMP_FW_C6_20240617,54,0.013142,0.006349,0,0,0,0,mg P/L,o-PHOS 0.3,1770682932,2/9/2026 19:22
RESULT,37,C14,Auto Spike,55,0.135179,0.057661,0,0,0,0,mg P/L,o-PHOS 0.3,1770683013,2/9/2026 19:23
QCPRORESULT,AUTO SPIKE,80.287521,1770683013,,,,,,,,,,,
QCPRODECISION,IN,1770683013,,,,,,,,,,,,
RESULT,38,U34,TMP_FW_F4_20240617,56,0.0044,0.002548,0,0,0,0,mg P/L,o-PHOS 0.3,1770683097,2/9/2026 19:24
RESULT,39,U35,TMP_FW_D5_20240617,57,0.003702,0.002244,0,0,0,0,mg P/L,o-PHOS 0.3,1770683178,2/9/2026 19:26
RESULT,-3,C11,0.15 mg/L,58,0.144362,0.063417,0,0,0,0,mg P/L,o-PHOS 0.3,1770683260,2/9/2026 19:27
QCPRORESULT,NORMAL,0,1770683260,,,,,,,,,,,
QCPRODECISION,IN,1770683260,,,,,,,,,,,,
RESULT,-3,C12,Blank,59,0.001057,0.001093,0,0,0,0,mg P/L,o-PHOS 0.3,1770683343,2/9/2026 19:29
QCPRORESULT,NORMAL,0,1770683343,,,,,,,,,,,
QCPRODECISION,IN,1770683343,,,,,,,,,,,,
RESULT,40,U36,TMP_FW_I5_20240617,60,0.006813,0.003597,0,0,0,0,mg P/L,o-PHOS 0.3,1770683425,2/9/2026 19:30
RESULT,41,U37,TMP_SW_C3_20240617,61,0.002762,0.001835,0,0,0,0,mg P/L,o-PHOS 0.3,1770683507,2/9/2026 19:31
RESULT,42,U38,TMP_SW_B4_20240617,62,0.020573,0.009581,0,0,0,0,mg P/L,o-PHOS 0.3,1770683588,2/9/2026 19:33
RESULT,42,C13,Duplicate,63,0.003881,0.002322,0,0,0,0,mg P/L,o-PHOS 0.3,1770683670,2/9/2026 19:34
QCPRORESULT,DUPLICATE,136.513412,1770683670,,,,,,,,,,,
QCPRODECISION,OUT,1770683670,,,,,,,,,,,,
QCPROACTION,CONTINUE,1770683670,,,,,,,,,,,,
RESULT,43,U39,TMP_SW_F6_20240617,64,0.001893,0.001457,0,0,0,0,mg P/L,o-PHOS 0.3,1770683753,2/9/2026 19:35
RESULT,43,C14,Auto Spike,65,0.120649,0.051532,0,0,0,0,mg P/L,o-PHOS 0.3,1770683833,2/9/2026 19:37
QCPRORESULT,AUTO SPIKE,78.128792,1770683833,,,,,,,,,,,
QCPRODECISION,IN,1770683833,,,,,,,,,,,,
RESULT,44,U40,10ppt_mtx,66,0.000852,0.001005,0,0,0,18,mg P/L,o-PHOS 0.3,1770683916,2/9/2026 19:38
RESULT,44,C14,Auto Spike,67,0.126484,0.053993,0,0,0,0,mg P/L,o-PHOS 0.3,1770683997,2/9/2026 19:39
QCPRORESULT,AUTO SPIKE,82.652229,1770683997,,,,,,,,,,,
QCPRODECISION,IN,1770683997,,,,,,,,,,,,
RESULT,45,U41,20ppt_mtx,68,0.000381,0.0008,0,0,0,18,mg P/L,o-PHOS 0.3,1770684080,2/9/2026 19:41
