"Project","Zone","Grid","Depth_cm","Sample_ID","Source","Volume_mL","Collection_Date","H2S_mean_uM","H2S_sd_uM","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Run_notes","Field_notes"
"TMP","C","E3","15cm","TMP_C_PW_E3_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","F4","15cm","TMP_C_PW_F4_20250204_15CM","PW",5,20250204,1.35242439876625,0.202838693410816,14.9981539519588,"Within Range","High CV","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","F4","15cm","TMP_C_PW_F4_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","F4","15cm","TMP_C_PW_F4_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1418"
"TMP","C","F4","15cm","TMP_C_PW_F4_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","F6","15cm","TMP_C_PW_F6_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","light color"
"TMP","C","F6","15cm","TMP_C_PW_F6_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","F6","15cm","TMP_C_PW_F6_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","F6","15cm","TMP_C_PW_F6_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H3","15cm","TMP_C_PW_H3_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H3","15cm","TMP_C_PW_H3_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H3","15cm","TMP_C_PW_H3_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1401"
"TMP","C","H3","15cm","TMP_C_PW_H3_20250602_15CM","PW",5,20250602,0.444043166646813,0.405677386821631,91.3598986074033,"Within Range","High CV","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H3","15cm","TMP_C_PW_H3_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H6","15cm","TMP_C_PW_H6_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H6","15cm","TMP_C_PW_H6_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H6","15cm","TMP_C_PW_H6_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H6","15cm","TMP_C_PW_H6_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1411"
"TMP","C","H6","15cm","TMP_C_PW_H6_20250602_15CM","PW",5,20250602,0.0307834291929974,0.0435343430610888,141.42135623731,"Within Range","High CV","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","H6","15cm","TMP_C_PW_H6_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","I5","15cm","TMP_C_PW_I5_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","I5","15cm","TMP_C_PW_I5_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","I5","15cm","TMP_C_PW_I5_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","I5","15cm","TMP_C_PW_I5_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1351"
"TMP","C","I5","15cm","TMP_C_PW_I5_20250602_15CM","PW",5,20250602,0.0307834291929974,0.0435343430610888,141.42135623731,"Within Range","High CV","",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","C","I5","15cm","TMP_C_PW_I5_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","B4","15cm","TMP_FW_PW_B4_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","B4","15cm","TMP_FW_PW_B4_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1125"
"TMP","FW","B4","15cm","TMP_FW_PW_B4_20250602_15CM","PW",5,20250602,1.87832932262488,0,0,"Within Range","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C3","15cm","TMP_FW_PW_C3_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled in lab at 1545"
"TMP","FW","C3","15cm","TMP_FW_PW_C3_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C3","15cm","TMP_FW_PW_C3_20250403_15CM","PW",5,20250403,2.64328193914651,0.40567738682163,15.3474883179741,"Within Range","High CV","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C3","15cm","TMP_FW_PW_C3_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1130"
"TMP","FW","C3","15cm","TMP_FW_PW_C3_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C3","15cm","TMP_FW_PW_C3_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C6","15cm","TMP_FW_PW_C6_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled in lab at 1549"
"TMP","FW","C6","15cm","TMP_FW_PW_C6_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C6","15cm","TMP_FW_PW_C6_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C6","15cm","TMP_FW_PW_C6_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1120"
"TMP","FW","C6","15cm","TMP_FW_PW_C6_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","C6","15cm","TMP_FW_PW_C6_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","D5","15cm","TMP_FW_PW_D5_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled in lab at 1619"
"TMP","FW","D5","15cm","TMP_FW_PW_D5_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","D5","15cm","TMP_FW_PW_D5_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","D5","15cm","TMP_FW_PW_D5_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1055"
"TMP","FW","D5","15cm","TMP_FW_PW_D5_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","D5","15cm","TMP_FW_PW_D5_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","E3","15cm","TMP_FW_PW_E3_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled in lab at 1603"
"TMP","FW","E3","15cm","TMP_FW_PW_E3_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","E3","15cm","TMP_FW_PW_E3_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","E3","15cm","TMP_FW_PW_E3_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","F4","15cm","TMP_FW_PW_F4_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled in lab at 1558"
"TMP","FW","F4","15cm","TMP_FW_PW_F4_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","F4","15cm","TMP_FW_PW_F4_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","F4","15cm","TMP_FW_PW_F4_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","F4","15cm","TMP_FW_PW_F4_20250711_15CM","PW",5,20250711,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","F6","15cm","TMP_FW_PW_F6_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled in lab at 1606"
"TMP","FW","F6","15cm","TMP_FW_PW_F6_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","F6","15cm","TMP_FW_PW_F6_20250602_15CM","PW",5,20250602,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","H3","15cm","TMP_FW_PW_H3_20250131_15CM","PW",5,20250131,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled in lab at 1611"
"TMP","FW","H3","15cm","TMP_FW_PW_H3_20250204_15CM","PW",5,20250204,0,0,0,"bdl","Within Range","Spk recovery out of range",1,20250925,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","H3","15cm","TMP_FW_PW_H3_20250403_15CM","PW",5,20250403,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.",NA
"TMP","FW","H3","15cm","TMP_FW_PW_H3_20250509_15CM","PW",5,20250509,0,0,0,"bdl","Within Range","Std curve r2 low; Dup perc diff out of range; Spk recovery out of range",1,20250926,"MC 10 was low in 4/8 plates. Plate 1 and 4 dups were bad. 
2/8 dups were bad. Used 10 uL spike for all plates. 
3/8 spikes were bad. Plate 15 Std curve used for all plates.","sub-sampled at 1118"
