"","Project","Site","Plot","Grid","Depth_cm","Event_Time","Time_of_day","Sample_ID","Volume_mL","Evacuation_date_YYYMMDD","Collection_Date_YYYYMMDD","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","EST_EDT","SO4_ppm","SO4_mM","SO4_Conc_flag","SO4_QAQC_flag","Cl_ppm","Cl_mM","Cl_Conc_flag","Cl_QAQC_flag","salinity","Analysis_rundate","Run_notes","Field_notes"
"45","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230617_15CM",5,NA,20230617,1502,1156,NA,7.6582,0.2389,NA,NA,2.4234,0.0684,NA,NA,0.0044,NA,NA,NA
"46","COMPASS","TEMPEST","C","H3",15,NA,NA,"TMP_C_H3_20230617_15CM",4,NA,20230617,1100,1027,NA,7.0475,0.2198,NA,NA,0.0381,0.0011,NA,NA,1e-04,NA,NA,NA
"47","COMPASS","TEMPEST","SW","I5",15,NA,NA,"TMP_SW_I5_20230627_15CM",5,NA,20230627,1253,1305,NA,314.274,9.8027,NA,NA,2746.1598,77.4657,NA,NA,4.9623,NA,NA,"Clear"
"48","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230627_15CM",5,NA,20230627,1256,1402,NA,185.051,5.772,NA,NA,1890.7026,53.3343,NA,NA,3.4165,NA,NA,"Clear"
"49","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230627_15CM",5,NA,20230627,1247,1339,NA,82.9636,2.5878,NA,NA,1308.7961,36.9195,NA,NA,2.365,NA,NA,"Clear"
"50","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230627_15CM",5,NA,20230627,1245,1412,NA,113.6138,3.5438,NA,NA,1276.1774,35.9994,NA,NA,2.3061,NA,NA,"Clear"
"51","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230627_15CM",5,NA,20230627,1239,1431,NA,261.4093,8.1538,NA,NA,2246.0674,63.3587,NA,NA,4.0587,NA,NA,"Clear"
"52","COMPASS","TEMPEST","SW","H6",15,NA,NA,"TMP_SW_H6_20230612_15CM",NA,NA,20230612,NA,NA,NA,423.1609,13.199,NA,NA,3686.5172,103.992,NA,NA,6.6616,NA,NA,NA
"53","COMPASS","TEMPEST","SW","H6",15,NA,NA,"TMP_SW_H6_20230627_15CM",5,NA,20230627,1255,1317,NA,135.5781,4.2289,NA,NA,1084.5743,30.5945,NA,NA,1.9599,NA,NA,"Clear"
"54","COMPASS","TEMPEST","SW","H3",15,NA,NA,"TMP_SW_H3_20230627_15CM",5,NA,20230627,1252,1329,NA,159.0621,4.9614,NA,NA,1294.8153,36.5251,NA,NA,2.3398,NA,NA,"Clear"
"55","COMPASS","TEMPEST","SW","F4",15,NA,NA,"TMP_SW_F4_20230627_15CM",5,NA,20230627,1249,1355,NA,126.7284,3.9529,NA,NA,1205.9287,34.0177,NA,NA,2.1791,NA,NA,"Clear"
"56","COMPASS","TEMPEST","SW","C6",15,NA,NA,"TMP_SW_C6_20230627_15CM",5,NA,20230627,1242,1421,NA,140.4608,4.3812,NA,NA,1289.783,36.3832,NA,NA,2.3307,NA,NA,"Clear"
"57","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230627_15CM",5,NA,20230627,1235,1442,NA,198.2146,6.1826,NA,NA,1835.179,51.7681,NA,NA,3.3162,NA,NA,"Clear"
"58","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230627_15CM",5,NA,20230627,1336,1054,NA,4.0282,0.1256,NA,NA,1.4158,0.0399,NA,NA,0.0026,NA,NA,NA
"59","COMPASS","TEMPEST","FW","F6",15,NA,NA,"TMP_FW_F6_20230627_15CM",5,NA,20230627,1326,1140,NA,4.5062,0.1406,NA,NA,1.0414,0.0294,NA,NA,0.0019,NA,NA,NA
"60","COMPASS","TEMPEST","FW","E3",15,NA,NA,"TMP_FW_E3_20230627_15CM",5,NA,20230627,1329,1130,NA,7.5004,0.2339,NA,NA,1.1117,0.0314,NA,NA,0.002,NA,NA,NA
"61","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230627_15CM",5,NA,20230627,1323,1149,NA,5.5125,0.1719,NA,NA,1.1247,0.0317,NA,NA,0.0021,NA,NA,NA
"62","COMPASS","TEMPEST","FW","B4",15,NA,NA,"TMP_FW_B4_20230627_15CM",5,NA,20230627,1304,1202,NA,6.6033,0.206,NA,NA,1.3472,0.038,NA,NA,0.0025,NA,NA,NA
"63","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230612_15CM",5,NA,20230612,1528,1009,NA,8.2911,0.2586,NA,NA,2.3568,0.0665,NA,NA,0.0043,NA,NA,NA
"64","COMPASS","TEMPEST","FW","H6",15,NA,NA,"TMP_FW_H6_20230627_15CM",5,NA,20230627,1338,1046,NA,8.9315,0.2786,NA,NA,1.3663,0.0385,NA,NA,0.0025,NA,NA,NA
"65","COMPASS","TEMPEST","FW","H3",15,NA,NA,"TMP_FW_H3_20230627_15CM",5,NA,20230627,1334,1108,NA,7.261,0.2265,NA,NA,1.5292,0.0431,NA,NA,0.0028,NA,NA,NA
"66","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230627_15CM",5,NA,20230627,1332,1117,NA,6.3186,0.1971,NA,NA,1.6521,0.0466,NA,NA,0.003,NA,NA,NA
"67","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230627_15CM",5,NA,20230627,1306,1211,NA,5.166,0.1611,NA,NA,1.1053,0.0312,NA,NA,0.002,NA,NA,NA
"68","COMPASS","TEMPEST","C","I5",15,NA,NA,"TMP_C_I5_20230628_15CM",5,NA,20230628,1421,1440,NA,4.0061,0.125,NA,NA,0.6547,0.0185,NA,NA,0.0012,NA,NA,NA
"69","COMPASS","TEMPEST","C","F6",15,NA,NA,"TMP_C_F6_20230628_15CM",5,NA,20230628,1415,1504,NA,3.9735,0.1239,NA,NA,1.7583,0.0496,NA,NA,0.0032,NA,NA,NA
"70","COMPASS","TEMPEST","C","E3",15,NA,NA,"TMP_C_E3_20230628_15CM",5,NA,20230628,1406,1548,NA,4.3306,0.1351,NA,NA,0.1986,0.0056,NA,NA,4e-04,NA,NA,NA
"71","COMPASS","TEMPEST","C","D5",15,NA,NA,"TMP_C_D5_20230628_15CM",5,NA,20230628,1412,1512,NA,4.7361,0.1477,NA,NA,0,0,NA,NA,0,NA,NA,NA
"72","COMPASS","TEMPEST","C","B4",15,NA,NA,"TMP_C_B4_20230628_15CM",5,NA,20230628,1409,1536,NA,3.6789,0.1148,NA,NA,0.5929,0.0167,NA,NA,0.0011,NA,NA,NA
"73","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230628_15CM",5,NA,20230628,1418,1454,NA,4.5655,0.1424,NA,NA,0.184,0.0052,NA,NA,4e-04,NA,NA,NA
"74","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230612_15CM",5,NA,20230612,1555,944,NA,9.282,0.2895,NA,NA,2.0749,0.0585,NA,NA,0.0038,NA,NA,NA
"75","COMPASS","TEMPEST","C","H3",15,NA,NA,"TMP_C_H3_20230628_15CM",5,NA,20230628,1402,1433,NA,6.2648,0.1954,NA,NA,0.6405,0.0181,NA,NA,0.0012,NA,NA,NA
"76","COMPASS","TEMPEST","C","F4",15,NA,NA,"TMP_C_F4_20230628_15CM",5,NA,20230628,1404,1556,NA,7.3978,0.2307,NA,NA,0.2353,0.0066,NA,NA,5e-04,NA,NA,NA
"77","COMPASS","TEMPEST","C","C6",15,NA,NA,"TMP_C_C6_20230628_15CM",5,NA,20230628,1231,1524,NA,4.2888,0.1338,NA,NA,33.4684,0.9441,NA,NA,0.0605,NA,NA,NA
"78","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230707_15CM",5,NA,20230707,1430,1050,NA,146.2335,4.5612,NA,NA,1338.7957,37.7657,NA,NA,2.4192,NA,NA,NA
"79","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230707_15CM",5,NA,20230707,1435,1038,NA,68.1391,2.1254,NA,NA,1100.9785,31.0572,NA,NA,1.9895,NA,NA,NA
"80","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230707_15CM",5,NA,20230707,1426,1045,NA,98.2683,3.0651,NA,NA,798.9636,22.5378,NA,NA,1.4438,NA,NA,NA
"81","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230707_15CM",5,NA,20230707,1239,1020,NA,233.1146,7.2712,NA,NA,1844.9105,52.0426,NA,NA,3.3338,NA,NA,NA
"82","COMPASS","TEMPEST","SW","C3",15,NA,NA,"TMP_SW_C3_20230707_15CM",5,NA,20230707,1235,1031,NA,202.4973,6.3162,NA,NA,1855.573,52.3434,NA,NA,3.353,NA,NA,NA
"83","COMPASS","TEMPEST","FW","I5",15,NA,NA,"TMP_FW_I5_20230707_15CM",5,NA,20230707,1416,920,NA,4.4897,0.14,NA,NA,1.94,0.0547,NA,NA,0.0035,NA,NA,NA
"84","COMPASS","TEMPEST","FW","D5",15,NA,NA,"TMP_FW_D5_20230707_15CM",5,NA,20230707,1444,958,NA,4.9076,0.1531,NA,NA,0.6861,0.0194,NA,NA,0.0013,NA,NA,NA
"85","COMPASS","TEMPEST","FW","H6",15,NA,NA,"TMP_FW_H6_20230612_15CM",5,NA,20230612,1543,1018,NA,9.6885,0.3022,NA,NA,1.4808,0.0418,NA,NA,0.0027,NA,NA,NA
"86","COMPASS","TEMPEST","FW","H6",15,NA,NA,"TMP_FW_H6_20230707_15CM",5,NA,20230707,1427,932,NA,7.6144,0.2375,NA,NA,0.7665,0.0216,NA,NA,0.0014,NA,NA,NA
"87","COMPASS","TEMPEST","FW","F4",15,NA,NA,"TMP_FW_F4_20230707_15CM",2,NA,20230707,1435,944,NA,12.4375,0.3879,NA,NA,0.4332,0.0122,NA,NA,8e-04,NA,NA,NA
"88","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230707_15CM",5,NA,20230707,1453,1009,NA,5.0982,0.159,NA,NA,0.6024,0.017,NA,NA,0.0011,NA,NA,NA
"89","COMPASS","TEMPEST","C","I5",15,NA,NA,"TMP_C_I5_20230710_15CM",5,NA,20230710,1138,1310,NA,4.8045,0.1499,NA,NA,0.0544,0.0015,NA,NA,1e-04,NA,NA,NA
"90","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230710_15CM",5,NA,20230710,1142,1255,NA,5.5838,0.1742,NA,NA,0.1134,0.0032,NA,NA,2e-04,NA,NA,NA
"91","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230707_15CM",5,NA,20230707,1215,1142,NA,5.0447,0.1574,NA,NA,0.0393,0.0011,NA,NA,1e-04,NA,NA,NA
"92","COMPASS","TEMPEST","C","C6",15,NA,NA,"TMP_C_C6_20230710_15CM",5,NA,20230710,1113,1240,NA,4.8908,0.1526,NA,NA,0.878,0.0248,NA,NA,0.0016,NA,NA,NA
"93","COMPASS","TEMPEST","SW","I5",15,NA,NA,"TMP_SW_I5_20230807_15CM",5,NA,20230807,1240,1012,NA,112.0355,3.4946,NA,NA,196.1449,5.533,NA,NA,0.3545,NA,NA,"clear"
"94","COMPASS","TEMPEST","SW","F6",15,NA,NA,"TMP_SW_F6_20230807_15CM",5,NA,20230807,1228,1037,NA,94.7191,2.9544,NA,NA,457.0739,12.8935,NA,NA,0.826,NA,NA,"clear"
"95","COMPASS","TEMPEST","SW","E3",15,NA,NA,"TMP_SW_E3_20230807_15CM",5,NA,20230807,1236,1025,NA,64.4411,2.01,NA,NA,395.7641,11.164,NA,NA,0.7152,NA,NA,"clear"
"96","COMPASS","TEMPEST","FW","C3",15,NA,NA,"TMP_FW_C3_20230612_15CM",5,NA,20230612,1613,939,NA,11.3645,0.3545,NA,NA,2.6786,0.0756,NA,NA,0.0049,NA,NA,NA
"97","COMPASS","TEMPEST","SW","D5",15,NA,NA,"TMP_SW_D5_20230807_15CM",5,NA,20230807,1225,1044,NA,53.4867,1.6683,NA,NA,138.56,3.9086,NA,NA,0.2504,NA,NA,"light yellow"
"98","COMPASS","TEMPEST","SW","B4",15,NA,NA,"TMP_SW_B4_20230807_15CM",5,NA,20230807,1218,1058,NA,100.7879,3.1437,NA,NA,488.5215,13.7806,NA,NA,0.8828,NA,NA,"clear"
"99","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230612_15CM",2,NA,20230612,1647,1022,NA,10.2618,0.3201,NA,NA,0,0,NA,NA,0,NA,NA,NA
"100","COMPASS","TEMPEST","C","C6",15,NA,NA,"TMP_C_C6_20230515_15CM",5,NA,20230515,1126,1502,NA,0.3224,0.0101,NA,NA,30.5616,0.8621,NA,NA,0.0553,NA,NA,NA
"101","COMPASS","TEMPEST","C","C6",15,NA,NA,"TMP_C_C6_20230603_15CM",2,NA,20230603,1512,1441,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"102","COMPASS","TEMPEST","C","C6",15,NA,NA,"TMP_C_C6_20230603_15CM",2,NA,20230603,1512,1441,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"103","COMPASS","TEMPEST","C","C6",15,NA,NA,"TMP_C_C6_20230603_15CM",2,NA,20230603,1512,1441,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"104","COMPASS","TEMPEST","C","C6",15,NA,NA,"TMP_C_C6_20230603_15CM",2,NA,20230603,1512,1441,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"105","COMPASS","TEMPEST","C","F6",15,NA,NA,"TMP_C_F6_20230515_15CM",5,NA,20230515,1136,1250,NA,0,0,NA,NA,28.2531,0.797,NA,NA,0.0511,NA,NA,NA
"106","COMPASS","TEMPEST","C","H3",15,NA,NA,"TMP_C_H3_20230515_15CM",5,NA,20230515,1141,1215,NA,0.5567,0.0174,NA,NA,27.4189,0.7735,NA,NA,0.0496,NA,NA,NA
"107","COMPASS","TEMPEST","C","H3",15,NA,NA,"TMP_C_H3_20230518_15CM",5,NA,20230518,1215,1031,NA,0.4633,0.0145,NA,NA,30.2118,0.8522,NA,NA,0.0546,NA,NA,"This may not exist?? I think I forgot we got it on 5/15 and hand wrote it on the data sheet for 5/18 making it look like we got a sample"
"108","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230515_15CM",5,NA,20230515,1136,1232,NA,4.3694,0.1363,NA,NA,24.2582,0.6843,NA,NA,0.0439,NA,NA,NA
"109","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230603_15CM",2,NA,20230603,1426,1415,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"110","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230603_15CM",2,NA,20230603,1426,1415,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"111","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230603_15CM",2,NA,20230603,1426,1415,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"112","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230603_15CM",2,NA,20230603,1426,1415,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"113","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230605_15CM",5,NA,20230605,1536,1600,NA,3.1858,0.0994,NA,NA,0,0,NA,NA,0,NA,NA,NA
"114","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230605_15CM",5,NA,20230605,1536,1600,NA,3.1858,0.0994,NA,NA,0,0,NA,NA,0,NA,NA,NA
"115","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230605_15CM",5,NA,20230605,1536,1600,NA,2.3894,0.0745,NA,NA,0,0,NA,NA,0,NA,NA,NA
"116","COMPASS","TEMPEST","C","H6",15,NA,NA,"TMP_C_H6_20230605_15CM",5,NA,20230605,1536,1600,NA,2.3894,0.0745,NA,NA,0,0,NA,NA,0,NA,NA,NA
"117","COMPASS","TEMPEST","C","I5",15,NA,NA,"TMP_C_I5_20230518_15CM",5,NA,20230518,1225,1043,NA,4.4207,0.1379,NA,NA,25.4606,0.7182,NA,NA,0.046,NA,NA,NA
"118","COMPASS","TEMPEST","C","I5",15,NA,NA,"TMP_C_I5_20230603_15CM",2,NA,20230603,1436,1400,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
"119","COMPASS","TEMPEST","C","I5",15,NA,NA,"TMP_C_I5_20230603_15CM",2,NA,20230603,1436,1400,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA
